Tara,Rata somajului (% din forta de munca),Educatie (%),ISD pe cap de locuitor (USD),Rata inflatiei (% pe an),PIB pe cap de locuitor (USD)
Malaysia,-0.5111618022189706,-0.5540403777974982,-0.12416870555665722,-0.208560173577815,-0.4507117525867768
Nicaragua,-0.3567857725356838,-0.8177377552050549,-0.13820950942003737,-0.0781299629728613,-0.8037473010823141
Netherlands,-0.5580112122966525,1.0043312439526462,-0.204282859522019,-0.13782414351711184,1.7255659234104854
Norway,-0.4814423526542736,1.2785815261816136,-0.029795792858690055,-0.14727661471064604,2.4790076566064148
Nepal,0.9087674547609936,-1.1117023084348268,-0.14939618967774387,-0.0753089151391671,-0.8585093461254791
New Zealand,-0.2959021779413394,0.6734027104984012,-0.1302763022316746,-0.1576760928771735,1.0092690159083626
Pakistan,-0.17145198288917088,-1.4498394390379714,-0.14889470789737935,0.2961421953133083,-0.8572788595759143
Panama,0.04442679658772471,-0.061712870827008916,-0.10804391869326255,-0.2618829299607041,-0.16573020519037604
Philippines,-0.8564440183421508,-0.2652554039179582,-0.14479863589207453,-0.14413094966219359,-0.7592685754932246
Poland,-0.7906071821536903,0.6895484300130836,-0.11694050211540617,-0.11741264967098011,0.06667100921625131
Portugal,0.01677119768724296,0.7154198014383354,-0.07664447431601845,-0.1813568931138155,0.23048734685818517
Romania,-0.19064579406637117,-0.01397170826769017,-0.12779513510697615,-0.026873389889339787,-0.12978909003750908
Russian Federation,-0.7792560035005074,0.15520252169796497,-0.15334627090608222,0.09994955140245579,-0.33281310520515284
Rwanda,1.174591420311894,-1.4966521702790347,-0.1471850728324229,-0.2115424537717231,-0.8760168530551706
